threshold,min_sep,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_F,COn_F,Split,Merged,Spurious
0.4,0.16,1959,2435,0.3712525667351129,0.4614599285349668,0.41147018661811563,0.7651342740100137,0.8047337278106508,0.6186830015313936,0.5308831036242981,0.14599285349668198
0.5,0.16,1959,2334,0.3774635818337618,0.4497192445125064,0.41043559282552994,0.7645003494060097,0.8087584439785697,0.597753956100051,0.5242470648289944,0.13425216947422156
0.3,0.16,1959,2568,0.36098130841121495,0.47320061255742724,0.40954274353876735,0.7572343715484869,0.7974375966423681,0.6426748340990301,0.5364982133741705,0.1582440020418581
0.3,0.2,1959,2428,0.36820428336079075,0.4563552833078101,0.407567813995897,0.761796216093002,0.7987235012537041,0.6130678917815212,0.5334354262378764,0.15569167942827974
0.6,0.16,1959,2217,0.38294993234100133,0.4333843797856049,0.4066091954022989,0.7523946360153256,0.8026819923371646,0.5655946911689638,0.5114854517611026,0.1260847371107708
0.4,0.2,1959,2335,0.3730192719486081,0.4446145992853497,0.4056823474615743,0.7647880763856544,0.8034466697717747,0.5946911689637571,0.5273098519652885,0.1439509954058193
0.5,0.12,1959,2411,0.36540854417254254,0.4497192445125064,0.4032036613272311,0.7491990846681922,0.8036613272311213,0.6110260336906586,0.5227156712608474,0.13578356304236855
0.5,0.2,1959,2250,0.376,0.4318529862174579,0.4019957234497505,0.7598004276550251,0.8044666191494417,0.5768249106687086,0.5196528841245533,0.1332312404287902
0.6,0.12,1959,2278,0.373134328358209,0.4338948443083206,0.40122728345527503,0.7415624262449846,0.7996223743214539,0.5783563042368556,0.5114854517611026,0.12710566615620214
0.4,0.12,1959,2550,0.35215686274509805,0.45839714139867277,0.3983144821468175,0.7425149700598803,0.7944111776447107,0.6380806533945891,0.5283307810107197,0.14854517611026033
0.3,0.12,1959,2715,0.33812154696132596,0.4686064318529862,0.392811296534018,0.7308515190415061,0.7821994009413777,0.6641143440530883,0.5354772843287392,0.16283818274629913
0.3,0.24,1959,2349,0.35802469135802467,0.42930066360387953,0.3904363974001857,0.7488393686165276,0.7910863509749305,0.5890760592138846,0.5227156712608474,0.15518121490556405
0.6,0.2,1959,2157,0.3722763096893834,0.409903011740684,0.3901846452866861,0.7453838678328475,0.7964042759961127,0.5487493619193466,0.5084226646248086,0.12557427258805512
0.4,0.24,1959,2266,0.3596646072374228,0.4160285860132721,0.3857988165680473,0.7488757396449705,0.7928994082840238,0.5727411944869831,0.5155691679428279,0.1439509954058193
0.5,0.24,1959,2191,0.36147877681424007,0.40428790199081166,0.38168674698795185,0.7440963855421686,0.7932530120481928,0.5569167942827974,0.5079122001020929,0.1332312404287902
0.7,0.16,1959,2091,0.3634624581539933,0.38795303726391017,0.3753086419753086,0.7209876543209878,0.7876543209876544,0.5324144971924452,0.4987238386932108,0.11689637570188872
0.7,0.12,1959,2129,0.3593236261155472,0.3905053598774885,0.37426614481409,0.7142857142857143,0.7857142857142858,0.5395610005104645,0.4987238386932108,0.11740684022460439
0.6,0.24,1959,2107,0.35690555291884196,0.3838693210821848,0.3698967043777669,0.7299557304476143,0.7850467289719627,0.5319040326697294,0.49719244512506383,0.12557427258805512
0.7,0.2,1959,2044,0.3527397260273973,0.368044920877999,0.3602298276292781,0.713464901324007,0.7804146889832626,0.5160796324655437,0.4946401225114854,0.11689637570188872
0.7,0.24,1959,2003,0.33999001497753367,0.34762633996937214,0.3437657748611812,0.6996466431095406,0.7703180212014133,0.5022970903522205,0.4849412965798877,0.11689637570188872
0.8,0.16,1959,1880,0.325,0.3118938233792751,0.3183120604324043,0.6522531909351394,0.7434227663454025,0.45737621235324144,0.4686064318529862,0.11434405308831036
0.3,0.3,1959,2129,0.3043682480037576,0.33078101071975496,0.31702544031311153,0.6560665362035226,0.7377690802348338,0.514037774374681,0.4880040837161817,0.15313935681470137
0.8,0.12,1959,1896,0.3222573839662447,0.3118938233792751,0.31699092088197145,0.6490272373540855,0.7424124513618676,0.4599285349668198,0.4686064318529862,0.11485451761102604
0.4,0.3,1959,2068,0.30609284332688586,0.3231240428790199,0.31437794884529424,0.6565681648870126,0.7385150235907624,0.5022970903522205,0.481368044920878,0.14497192445125065
0.5,0.3,1959,2000,0.309,0.31546707503828486,0.3122000505178075,0.6521848951755493,0.7395807021975245,0.48596222562531904,0.4726901480347116,0.13425216947422156
0.6,0.3,1959,1932,0.31004140786749484,0.3057682491066871,0.3078900025700334,0.642508352608584,0.7345155487021331,0.4670750382848392,0.46401225114854516,0.1260847371107708
0.8,0.2,1959,1859,0.3157611619150081,0.299642674834099,0.3074908328968046,0.6464117338920901,0.7375589313776846,0.4497192445125064,0.46452271567126086,0.11434405308831036
0.8,0.24,1959,1823,0.303894679100384,0.2827973455844819,0.2929666842940243,0.6329984135378107,0.7276573241671074,0.4369576314446146,0.45380296069423176,0.11434405308831036
0.7,0.3,1959,1846,0.29198266522210187,0.27514037774374683,0.283311432325887,0.6176084099868594,0.7216819973718791,0.44308320571720267,0.45227156712608474,0.11740684022460439
0.8,0.3,1959,1695,0.26548672566371684,0.22970903522205208,0.24630541871921185,0.5632183908045977,0.6880131362889983,0.38642164369576315,0.4262378764675855,0.11434405308831036
