stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_F,COn_F,Split,Merged,Spurious
child1,119,121,0.8264462809917356,0.8403361344537815,0.8333333333333334,0.9666666666666667,0.9666666666666667,0.05042016806722689,0.03361344537815126,0.0
child10,87,82,0.7804878048780488,0.735632183908046,0.757396449704142,0.8875739644970414,0.9230769230769231,0.13793103448275862,0.20689655172413793,0.011494252873563218
child11,72,71,0.9014084507042254,0.8888888888888888,0.8951048951048951,0.951048951048951,0.951048951048951,0.08333333333333333,0.125,0.041666666666666664
child12,89,89,0.7191011235955056,0.7191011235955056,0.7191011235955056,0.8314606741573034,0.8876404494382022,0.12359550561797752,0.14606741573033707,0.033707865168539325
child13,62,66,0.8181818181818182,0.8709677419354839,0.84375,0.90625,0.90625,0.1774193548387097,0.16129032258064516,0.03225806451612903
child14,161,165,0.6606060606060606,0.6770186335403726,0.6687116564417178,0.8282208588957056,0.8466257668711655,0.16770186335403728,0.16149068322981366,0.018633540372670808
child2,110,105,0.7904761904761904,0.7545454545454545,0.772093023255814,0.9302325581395349,0.9302325581395349,0.03636363636363636,0.08181818181818182,0.00909090909090909
child3,61,60,0.7333333333333333,0.7213114754098361,0.7272727272727273,0.9256198347107439,0.9256198347107439,0.06557377049180328,0.06557377049180328,0.0
child4,30,27,0.7037037037037037,0.6333333333333333,0.6666666666666667,0.8421052631578948,0.8771929824561403,0.03333333333333333,0.16666666666666666,0.03333333333333333
child5,61,61,0.819672131147541,0.819672131147541,0.819672131147541,0.9508196721311475,0.9508196721311475,0.11475409836065574,0.11475409836065574,0.0
child6,60,63,0.7936507936507936,0.8333333333333334,0.8130081300813008,0.943089430894309,0.943089430894309,0.13333333333333333,0.13333333333333333,0.05
child7,60,60,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.9,0.9,0.1,0.08333333333333333,0.0
child8,87,87,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.9080459770114943,0.9195402298850575,0.09195402298850575,0.13793103448275862,0.04597701149425287
child9,61,60,0.9,0.8852459016393442,0.8925619834710743,0.9752066115702478,0.9752066115702478,0.13114754098360656,0.14754098360655737,0.01639344262295082
q1,28,26,0.5,0.4642857142857143,0.4814814814814815,0.6296296296296297,0.8148148148148148,0.07142857142857142,0.21428571428571427,0.10714285714285714
q102,62,57,0.7192982456140351,0.6612903225806451,0.689075630252101,0.7899159663865545,0.8907563025210085,0.2903225806451613,0.3709677419354839,0.0
q14,27,24,0.75,0.6666666666666666,0.7058823529411765,0.9019607843137256,0.9019607843137256,0.18518518518518517,0.25925925925925924,0.0
q16,29,25,0.92,0.7931034482758621,0.851851851851852,0.9259259259259259,0.9259259259259259,0.1724137931034483,0.20689655172413793,0.0
q18,36,40,0.65,0.7222222222222222,0.6842105263157895,0.7894736842105262,0.8421052631578948,0.4166666666666667,0.3611111111111111,0.05555555555555555
q2,35,11,0.18181818181818182,0.05714285714285714,0.08695652173913043,0.21739130434782608,0.34782608695652173,0.0,0.2,0.02857142857142857
q21,78,81,0.5432098765432098,0.5641025641025641,0.5534591194968553,0.7672955974842767,0.8553459119496856,0.3717948717948718,0.32051282051282054,0.0
q22,85,83,0.39759036144578314,0.38823529411764707,0.39285714285714285,0.6428571428571428,0.7499999999999999,0.32941176470588235,0.29411764705882354,0.0
q24,49,49,0.5306122448979592,0.5306122448979592,0.5306122448979592,0.7959183673469388,0.8571428571428571,0.1836734693877551,0.22448979591836735,0.061224489795918366
q34,35,38,0.6052631578947368,0.6571428571428571,0.6301369863013698,0.7397260273972601,0.8493150684931505,0.17142857142857143,0.14285714285714285,0.05714285714285714
q56,52,51,0.7647058823529411,0.75,0.7572815533980582,0.854368932038835,0.9126213592233009,0.3076923076923077,0.3269230769230769,0.019230769230769232
q58,37,57,0.38596491228070173,0.5945945945945946,0.4680851063829787,0.6382978723404256,0.6808510638297872,0.24324324324324326,0.16216216216216217,0.40540540540540543
q59,29,28,0.75,0.7241379310344828,0.736842105263158,0.9824561403508771,0.9824561403508771,0.10344827586206896,0.13793103448275862,0.0
q61,29,31,0.6451612903225806,0.6896551724137931,0.6666666666666667,0.8666666666666666,0.8666666666666666,0.27586206896551724,0.2413793103448276,0.06896551724137931
q62,32,34,0.7058823529411765,0.75,0.7272727272727272,0.8787878787878787,0.9090909090909091,0.15625,0.09375,0.0
q63,34,36,0.5833333333333334,0.6176470588235294,0.6,0.9142857142857143,0.9142857142857143,0.058823529411764705,0.058823529411764705,0.058823529411764705
q73,39,43,0.5813953488372093,0.6410256410256411,0.6097560975609757,0.8292682926829267,0.9024390243902439,0.1794871794871795,0.07692307692307693,0.0
q8,56,50,0.56,0.5,0.5283018867924528,0.7735849056603773,0.8113207547169812,0.125,0.21428571428571427,0.125
q80,1,35,0.02857142857142857,1.0,0.05555555555555556,0.05555555555555556,0.05555555555555556,0.0,0.0,34.0
q85,1,12,0.08333333333333333,1.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,11.0
q86,1,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
q87,1,25,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,24.0
q9,43,40,0.85,0.7906976744186046,0.8192771084337349,0.9156626506024096,0.963855421686747,0.2558139534883721,0.32558139534883723,0.0
q96,20,19,0.7894736842105263,0.75,0.7692307692307692,0.8205128205128205,0.8717948717948718,0.05,0.1,0.0
